Account,Name,Address,Status,Reason
2073497400000,# 227 TIMEWISE FOODS,24549 LOOP 494 77365,,
2228418500000,# HAIR SALON,7202 SPENCER HWY 77505,,
2231205000000,#01KIM VEHICLES,IN HARRIS COUNTY,,
2232988200000,"#1 CHICKEN, RICE, & SEAFOOD",4621 ALMEDA RD 77004,,
2233938500000,#1 CITGO,11555 CULLEN BLVD 77047,,
2232665800000,#1 CLEANERS,5160 FRANZ RD 77493,,
2202344300000,#1 FOOD MART,11903 BEECHNUT ST 77072,,
2210617200000,#1 HAIR SALON,11916 BISSONNET ST 77099,,
2229617900000,#1 LASH LLC,3120 ROGERDALE RD 77042,,
2235950600000,#1 LASH USA LLC,10600 BELLAIRE BLVD 77072,,
2230523000000,#1 MASSAGE,13610 BELLAIRE BLVD 77083,,
2106243400000,#1 NAIL SPA,7620 LOUETTA RD 77379,,
2223787900000,#1 NAILS & SPA,2520 RICE BLVD 77005,,
2106214600000,#1 NAILS & SPA,9510 BEECHNUT ST 77036,,
2209476000000,#1 NEW STAR MUFFLER SHOP CORPORATION,6509 N SHEPHERD DR 77091,,
2219220500000,#1 RESORT NAILS & SPA,14030 MEMORIAL DR 77079,,
2236519300000,#1 TAX PREP,12222 BISSONNET ST 77099,,
0402210000447,#172 CBOCS TEXAS LP,5173 INTERSTATE 10 HWY 77521,,
0431500090031,#218 TEXAS PETROLOEUM GROUP LLC,FM 1960 BYPASS RD E 77338,,
0963700000008,#225 TEXAS PETROLEUM GROUP LLC,14002 MEMORIAL DR 1 77079,,
2061712800000,#4402 CARRABBA'S ITALIAN GRILL,5440 FM 1960 RD W 77069,,
2236902700000,#MAKEUPBYASIA LLC,6220 WESTPARK DR 77057,,
2233092300000,#N7073 LLC,1910 WHITEBRIAR DR 77536,,
2234228900000,#NOFILTERSISTERS,7407 SPENCER HWY 77505,,
2228560900000,$ .99 PLUS STORE,779 NORMANDY ST 77015,,
2206143900000,$ 3 PLUS FASHION,10001 W BELLFORT ST 77031,,
2233005600000,$ ARY STORE,5750 ALDER DR 77081,,
2211795300000,$ DEAL,159 SHARPSTOWN CTR 77036,,
2210853500000,$1 09 PLUS STORE,1455 WIRT RD 77055,,
2105190400000,$1 25 NEIGHBOR CLEANER,1736 S DAIRY ASHFORD RD 77077,,
2208033800000,$1 AND MORE,5811 LYONS AVE 77020,,
2211695900000,$1 DOLLAR DRY CLEAN,2307 S KIRKWOOD RD 77077,,
2230537900000,$1 PLUS,12313 BELLAIRE BLVD 77072,,
2235682000000,$1 PLUS LATINO,3824 S GESSNER RD 77063,,
2086867000000,$1.00 & $1.00,108 SHARPSTOWN CTR 77036,,
2215402200000,$1.00 CITY,6826 HARRISBURG BLVD 77011,,
2098459900000,$1.00 DRY CLEAN,12165 JONES RD 77070,,
2091936200000,$1.00 FOREVER,5558 NORTH FWY 77076,,
2209287600000,$1.00 N GIFT STORE,900 S WAYSIDE DR 77023,,
2222793700000,$1.00 N GIFT STORE,910 S WAYSIDE DR 77023,,
2211957500000,$1.00 PLUS STORE,14366 MEMORIAL DR 77079,,
2216497500000,$1.00+ SUPER MARKET,8951 RICHMOND AVE 77063,,
2096403800000,$1.09 PLUS STORE,10321 CLUB CREEK DR 77036,,
2202130800000,$1.19 CYPRESS CLEANERS,18027 FM 529 RD 77433,,
2085910800000,$1.25 DRY CLEAN SUPER CTR,17960 FM 529 RD 77095,,
2201478900000,$1.25 DRY CLEAN WORLD,12120 FM 1960 RD W 77065,,
2083020100000,$1.25 DRYCLEAN SUPERCENTER,1301 N FRY RD 77449,,
2105099300000,$1.35 CLEANERS,5196 ALDINE MAIL ROUTE RD 77039,,
2091947500000,$1.50 CLEANERS,126 E PARKER RD 77076,,
2213808400000,$1.55 CLEANERS,505 MAXEY RD 77013,,
2223649400000,$1.79 CLASSIC CLEANER,11435 SPRING CYPRESS RD 77377,,
9837062600000,$1.85 DRY CLEANERS,520 NORTHPARK DR STE 107 77339,,
2093211600000,$1.99 CLEANERS,4006 BROADWAY ST 77087,,
2232439800000,$1.99 CLEANERS,4006 BROADWAY ST 77087,,
2206854000000,$25 OPTICAL,1008 W STERLING ST 77520,,
2236763500000,"$300 U DRIVE, LLC",3702 ARC ST 77057,,
2102932300000,$35 COMPUTER REPAIR,3708 S GESSNER RD 77063,,
0920260000008,% JAMES C MAYS ESTATE OF,5242 CANTERWAY DR 77048,,
1085690000019,% JOAN LARKIN TRUST,15327 PEBBLE BEND DR 77068,,
2095387800000,(281)999-RENT INC,7119 POOLE RD 77379,,
2229996900000,(SHELL) TIDWELL CONOCO,7292 W TIDWELL RD 77092,,
1151860580004,-SANTI DAWNE K & JAMES S,5030 HARTWELL DR 77084,,
2232945800000,.89 & UP,6119 CLAREWOOD DR 77081,,
6000003021216,;HERRERA JOSE M ALVAREZ,8819 BARREN WAY 77064,,
2230221300000,@DEVINHNAILEDIT,8560 HIGHWAY 6 N 77095,,
2230056500000,@MALA,5803 N FRY RD 77449,,
1138030000007,\DOMINGUEZ ANIEL SANCHEZ,7806 BARNHILL DR 77338,,
1367850020002,]ANG DANITH,13807 POINTED EDGE LN 77429,,
1097920000014,`DIAZ PAULA,5307 INGOMAR WAY 77053,,
4205167200000,¿SUSPENSE,,,
2227917200000,0,1002 N MEYER RD 77586,,
0511270060003,0 CEBRA DEVELOPMENT LLC,CEBRA 77091,,
0511270060004,0 CEBRA DEVELOPMENT LLC,CEBRA 77091,,
0511270060068,0 CEBRA DEVELOPMENT LLC,CEBRA 77091,,
1336320010001,0 DALLAS ST LLC,DALLAS ST 77003,,
2230093900000,0 FAMILY DENTISTRY,8190 BARKER CYPRESS RD 77433,,
1938001200012,0 FONDREN ROAD LLC,FONDREN RD,,
1252040020001,0 MADISON STREET DEVELOPMENT LLC,5620 MADISON ST 77091,,
1252040020005,0 MADISON STREET DEVELOPMENT LLC,5612 MADISON ST 77091,,
1252040020008,0 MADISON STREET DEVELOPMENT LLC,5606 MADISON ST 77091,,
1252040020002,0 MADISON STREET DEVELOPMENT LLC,5618 MADISON ST 77091,,
1252040020004,0 MADISON STREET DEVELOPMENT LLC,5614 MADISON ST 77091,,
1252040020011,0 MADISON STREET DEVELOPMENT LLC,MADISON ST 77091,,
1252040020003,0 MADISON STREET DEVELOPMENT LLC,5616 MADISON ST 77091,,
1252040020009,0 MADISON STREET DEVELOPMENT LLC,5604 MADISON ST 77091,,
1252040020010,0 MADISON STREET DEVELOPMENT LLC,5602 MADISON ST 77091,,
0431590040215,0 MCGALLION LLC,6620 FULTON ST 77022,,
0332400410003,0 PEERLESS LLC,6311 ALLEGHENY ST 5 77021,,
1353530010001,0 PEERLESS LLC,PEERLESS ST 77021,,
0332180160008,0 ST AUGUSTINE LLC,ST AUGUSTINE 77021,,
1072420000007,0 WESTHOLLOW LLC,W HOLLOW DR 77082,,
0302430460041,00 GOLDEN FOREST LLC,GOLDEN FOREST DR 77091,,
0302430460010,00 GOLDEN FOREST LLC,GOLDEN FOREST DR 77091,,
0302430460039,00 GOLDEN FOREST LLC,GOLDEN FOREST DR 77091,,
0302430460042,00 GOLDEN FOREST LLC,GOLDEN FOREST DR 77091,,
0302430460040,00 GOLDEN FOREST LLC,GOLDEN FOREST DR 77091,,
2236416300000,007 BEAUTY SUPPLY,3719 LOCKWOOD DR 77026,,
1206830010004,007 INVESTMENTS LLC,5411 FLOYD ST 3 77007,,
1250530040088,00I CHONG W,13307 RIDGEWOOD KNOLL LN 77047,,
1308640040016,01 THE ENTRUST GROUP INC,8922 HOSTLER DR 77375,,
0984810000005,02 MARTINIQUE LLC,18702 MARTINIQUE DR 77058,,
0440340010575,024 RE INTERESTS LLC,8915 GAYLORD ST 77024,,
0440340010881,024 RE INTERESTS LLC,8915 GAYLORD ST 77024,,
1381530010001,03 REHSTX LLC,3802 LEELAND ST 77003,,
1381530010018,03 REHSTX LLC,1617 MILBY ST B 77003,,
2212445700000,033M5,4 GREENWAY PLZ 77046,,
2230460300000,042 LOUNGE,13711 WESTHEIMER RD 77077,,
2215125000000,0484314,1417 HARTWICK RD 77093,,
0402110010099,06 MARTINIQUE LLC,MARTINIQUE 77058,,
0984810000004,06 MARTINIQUE LLC,18706 MARTINIQUE DR 77058,,
1141580450006,08312012 LLC,2100 TANGLEWILDE ST 510 77063,,
0630170010001,084 GROUP,9236 KINGSVILLE ST 77063,,
2095990500000,0959905 LUXOTTICA OF AMERICA,5135 W ALABAMA ST 77056,,
2235665700000,0996017,1264 FRIES RD 77055,,
0191630000001,0HOLMAN 001 LLC,HOLMAN ST 1 77004,,
2202047800000,0MAR SALAZAR,11735 YEARLING DR 77065,,
2209111600000,1 & MORE,6517 CHIMNEY ROCK RD 77081,,
2103134800000,1 25 T C CLEANERS,3824 ATASCOCITA RD 77396,,
2225295300000,1 800 FOUNDATION,8522 COOLIDGE ST 77012,,
2235598200000,1 800 RADIATOR OF HOUSTON,18209 CHISHOLM TRL 77060,,
1452180010001,1 AH INVESTMENTS LLC,NOBLE ST 77026,,
1452180010002,1 AH INVESTMENTS LLC,NOBLE ST 77026,,
2233876600000,1 ARCHANGEL FOSTER AND ADOPTION AGENCY,6671 SOUTHWEST FWY 77074,,
1049130000011,1 AUM CORP,2537 S GESSNER RD 77063,,
1147430070001,1 AUM CORP,661 BERING DR 701 77057,,
2097720400000,1 CLEAN PLANE,1448 BRITTMOORE RD,,
2207051900000,1 CLICK PHOTOGRAPHY,11140 BELLAIRE BLVD 77072,,
2213120900000,1 COMPLETE ENTERPRISE FOR CHRIST 70 LLC,16619 GLAMIS LN 77084,,
2236142800000,1 DENTAL TEXAS FAMILY ORTHODONTICS,7014 FRY RD 77433,,
2222312600000,1 DERRICK INC,1200 SMITH ST 77002,,
2219276400000,1 DIAMOND LLC,2000 W SAM HOUSTON PKY S 77042,,
2215292300000,1 EASY RIDE AUTO SALE CORPORATION,6800 N SHEPHERD DR 77091,,
2215293500000,1 EASY RIDE AUTO SALE CORPORATION,6800 N SHEPHERD DR 77091,,
2234367700000,1 FOF ART & DESIGN,4501 MAGNOLIA COVE DR 77345,,
2043835800000,1 FOOD STORE,12420 PALMSPRINGS DR 77034,,
2222612900000,1 GLASS STOP,2021 ALDINE MAIL ROUTE RD 77039,,
2237396800000,1 HAUL INC,114 AMBERSHADOW DR 77015,,
0924480000022,1 JACK INVESTMENTS LLC,14911 NUWOOD LN 77053,,
2234108800000,1 JRMDWM PROPERTY INTEREST,1110 E NASA RD 77058,,
0113190000378,1 JRMDWM PROPERTY INTERESTS LLC,117 E SAN AUGUSTINE ST 77536,,
1198770010001,1 MAL LLC,16190 GALVESTON RD 77598,,
2211416900000,1 MAN TRUCKING,2404 LEELAND ST 77003,,
0430140000045,1 MCCOY LLC,27902 E HARDY RD 77373,,
2232713700000,1 MEDERES CONSTRUCTION,18411 ADLONG JOHNSON RD 77532,,
2210677900000,1 MIRACLE TRANSPORTATION,14519 CAROLINA HOLLOW LN 77044,,
2237874200000,1 NEW GENERATION LLC,20525 CYPRESSWOOD DR 77433,,
2234081400000,1 ONE STOP AUTO CARE,805 SPENCER HWY 77587,,
2103010300000,1 SOURCE SIGNS,6021 YALE ST 77076,,
2237927600000,1 SOURCE SIGNS LLC,6021 YALE ST 77076,,
2237874400000,1 SOURCE SIGNS LLC,621 E 39TH ST 77022,,
0422560000033,1 SOURCE STORAGE LLC,28834 BETKA RD 77447,,
2064530300000,1 ST INVESTORS FINANCIAL SERVICES INC,5757 WOODWAY DR 77057,,
2236362400000,1 STEP SELF-CARE,10333 HARWIN DR 77036,,
2238291000000,1 STONE SOLUTIONS JACOB DAVID ROBINSON,1334 BRITTMOORE RD 77043,,
2235556500000,1 STOP # 9,1406 W GULF BANK RD 77088,,
2232443000000,1 STOP #1,1503 GEARS RD 77067,,
2237491800000,1 STOP #10,15103 BELLAIRE BLVD 77083,,
2237709900000,1 STOP #10,7112 N WAYSIDE DR 77028,,
2237492200000,1 STOP #11,4203 FAIRMONT PKY 77504,,
2225314700000,1 STOP #2,6154 BELLFORT ST 77033,,
2227854300000,1 STOP #3,2850 FRY RD 77084,,
2230328200000,1 STOP #7,904 LATHROP ST 77020,,
2231264100000,1 STOP AUTO SALES,7110 RAMPART ST 77081,,
2231264200000,1 STOP AUTO SALES,7110 RAMPART ST 77081,,
2233761400000,1 STOP CLEANERS LLC,8033 MARTIN LUTHER KING JR BLVD 77033,,
2201424000000,1 STOP FOOD MART,3409 W T C JESTER BLVD 77018,,
2095587300000,1 STOP GRAPHICS & BUSINESS,5002 MARTIN LUTHER KING JR BLVD 77021,,
0611390280013,1 STOP GRAPHICS & DISTRIBUTION LLC,5002 MARTIN LUTHER KING JR BLVD 77021,,
2229048100000,1 STOP HEALTH CARE SERVICES LLC,12000 RICHMOND AVE 77082,,
2229704100000,1 STOP INSURANCE & MULTISERVICE,12941 NORTH FWY 77060,,
2226913400000,1 STOP MAIL & MORE,4910 HIGHWAY 6 N 77084,,
2227689500000,1 STOP MOTORS,4002 CALVACADE ST 77026,,
2231837600000,1 STOP MOTORS LLC,4002 CAVALCADE ST 77026,,
2231837700000,1 STOP MOTORS LLC,4002 CAVALCADE ST 77026,,
2224949900000,1 STOP OUTLET LLC,5825 LOUETTA RD 77379,,
0422260000323,1 STOP RESTAURANT EQUIPMENT INC,BERRY RD 77093,,
2210799300000,1 STOP SAFETY & RENTALS INC,2843 WESTSIDE DR 77502,,
2234409700000,1 STOP SHOP W/ PHENOMENAL LADIES,13712 WALTERS RD 77014,,
2208284800000,1 STOP VIDEO & WIRELESS,2637 LITTLE YORK RD 77093,,
2206064700000,1 STORE REALTY & MORTGAGE INC,5475 WEST LOOP S 77081,,
2097420100000,1 TO 1 PRINTERS,15031 WOODHAM DR 77073,,
2235899200000,1 VATO HOTSHOT LLC,322 PARLIAMENT DR 77034,,
2237284600000,1 VISION,9346 TELGE RD 77095,,
2221729400000,1 VISION MULTISERVICES,12701 VETERANS MEMORIAL DR 77014,,
2215161800000,1 WAY OUT BAIL BOND,6906 DENISON ST 77020,,
2232819100000,1% CAMBIANOS CHEQUES,900 S WAYSIDE DR 77023,,
2209449300000,1% CAMBIANOS CHEQUES,900 S WAYSIDE DR 77023,,
2216896500000,1% CHECK CASHED,7204 SOUTHWEST FWY 77074,,
2215015800000,1% CHECK CASHING,8261 RICHMOND AVE 77063,,
2203999000000,1% CHECK CASHING,7001 LONG DR 77087,,
2223571400000,1% CHECKS CASHED,9600 FONDREN RD 77096,,
2232379100000,1-0-2 LASH BY TRACY,3514 S SHEPHERD DR 77098,,
2232081000000,1-800 BUGLESS,3518 SURREY LN 77536,,
2204153600000,1-800 RADIATOR OF HOUSTON,9370 S POINT DR 77054,,
2213331700000,1-800--PACK-RAT,IN HARRIS COUNTY,,
